Winner,Loser,Date
Alexander Zverev,Maximilian Marterer,2024-08-26
Francisco Comesana,Dominic Stephan Stricker,2024-08-26
Roberto Carballes Baena,Jan Choinski,2024-08-26
Roberto Bautista Agut,Luca Nardi,2024-08-26
Mitchell Krueger,Hugo Grenier,2024-08-26
Juncheng Shang,Alexander Bublik,2024-08-26
Ugo Humbert,Thiago Monteiro,2024-08-26
Ben Shelton,Dominic Thiem,2024-08-26
Matteo Berrettini,Albert Ramos-Vinolas,2024-08-26
Casper Ruud,Bu Yunchaokete,2024-08-26
Alexei Popyrin,Soonwoo Kwon,2024-08-26
Pedro Martinez,Maks Kasnikowski,2024-08-26
Andrey Rublev,Thiago Seyboth Wild,2024-08-26
Taylor Fritz,Camilo Ugo Carabelli,2024-08-26
Jiri Lehecka,Marton Fucsovics,2024-08-26
Lorenzo Musetti,Reilly Opelka,2024-08-26
Francisco Cerundolo,Sebastian Ofner,2024-08-26
Miomir Kecmanovic,Yoshihito Nishioka,2024-08-26
Tomas Martin Etcheverry,Giovanni Mpetshi Perricard,2024-08-26
Gael Monfils,Diego Schwartzman,2024-08-26
Alexandre Muller,Adam Walton,2024-08-26
Grigor Dimitrov,Kyrian Jacquet,2024-08-26
Alexander Shevchenko,Dominik Koepfer,2024-08-26
Arthur Rinderknech,Christopher Eubanks,2024-08-26
Rinky Hijikata,Alejandro Davidovich Fokina,2024-08-26
Brandon Nakashima,Holger Rune,2024-08-26
Sebastian Baez,Luciano Darderi,2024-08-26
Yafan Wang,Maria Sakkari,2024-08-26
Qinwen Zheng,Amanda Anisimova,2024-08-26
Erika Andreeva,Yue Yuan,2024-08-26
Daria Kasatkina,Jaqueline Adina Cristian,2024-08-26
Jule Niemeier,Dayana Yastremska,2024-08-26
Elina Svitolina,Maria Lourdes Carle,2024-08-26
Diane Parry,Xiyu Wang,2024-08-26
Donna Vekic,Kimberly Birrell,2024-08-26
Greet Minnen,Magdalena Frech,2024-08-26
Anhelina Kalinina,Oceane Dodin,2024-08-26
Paula Badosa,Viktorija Golubic,2024-08-26
Tatjana Maria,Solana Sierra,2024-08-26
Coco Gauff,Varvara Gracheva,2024-08-26
Maya Joint,Laura Siegemund,2024-08-26
Moyuka Uchijima,Tamara Korpatsch,2024-08-26
Peyton Stearns,Lesia Tsurenko,2024-08-26
Taylor Townsend,Martina Trevisan,2024-08-26
Elise Mertens,Veronika Kudermetova,2024-08-26
Madison Keys,Katerina Siniakova,2024-08-26
Ajla Tomljanovic,Ann Li,2024-08-26
Arantxa Rus,Ana Bogdan,2024-08-26
Marta Kostyuk,McCartney Kessler,2024-08-26
Iva Jovic,Magda Linette,2024-08-26
Emma Navarro,Anna Blinkova,2024-08-26
Barbora Krejcikova,Marina Bassols Ribera,2024-08-26
Victoria Azarenka,Yuliia Starodubtseva,2024-08-26
Miomir Kecmanovic,Yoshihito Nishioka,2024-08-27
Alexander Shevchenko,Dominik Koepfer,2024-08-27
Arthur Rinderknech,Christopher Eubanks,2024-08-27
Rinky Hijikata,Alejandro Davidovich Fokina,2024-08-27
Brandon Nakashima,Holger Rune,2024-08-27
Sebastian Baez,Luciano Darderi,2024-08-27
Frances Tiafoe,Aleksandar Kovacevic,2024-08-27
Laslo Djere,Jan-Lennard Struff,2024-08-27
Arthur Cazaux,Pablo Carreno Busta,2024-08-27
Tallon Griekspoor,Sumit Nagal,2024-08-27
Novak Djokovic,Radu Albot,2024-08-27
Thanasi Kokkinakis,Stefanos Tsitsipas,2024-08-27
Hubert Hurkacz,Timofey Skatov,2024-08-27
Jakub Mensik,Felix Auger-Aliassime,2024-08-27
Mariano Navone,Daniel Altmaier,2024-08-27
Tristan Schoolkate,Taro Daniel,2024-08-27
Jordan Thompson,Constant Lestienne,2024-08-27
David Goffin,Alejandro Tabilo,2024-08-27
Tomas Machac,Fabio Fognini,2024-08-27
Otto Virtanen,Quentin Halys,2024-08-27
Daniel Evans,Karen Khachanov,2024-08-27
Alex Michelsen,Eliot Spizzirri,2024-08-27
Jack Draper,Zhizhen Zhang,2024-08-27
Adrian Mannarino,Borna Coric,2024-08-27
Roman Safiullin,Matthew Forbes,2024-08-27
Matteo Arnaldi,Zachary Svajda,2024-08-27
Jannik Sinner,Mackenzie McDonald,2024-08-27
Nuno Borges,Federico Coria,2024-08-27
Facundo Diaz Acosta,Hugo Gaston,2024-08-27
Alex de Minaur,Marcos Giron,2024-08-27
Daniil Medvedev,Dusan Lajovic,2024-08-27
Arthur Fils,Learner Tien,2024-08-27
Botic van de Zandschulp,Denis Shapovalov,2024-08-27
Max Purcell,Aleksandar Vukic,2024-08-27
Sebastian Korda,Corentin Moutet,2024-08-27
Fabian Marozsan,Hamad Medjedovic,2024-08-27
Flavio Cobolli,James Duckworth,2024-08-27
Gabriel Diallo,Jaume Munar,2024-08-27
Zizou Bergs,Pavel Kotov,2024-08-27
Christopher O'Connell,Nicolas Jarry,2024-08-27
Ajla Tomljanovic,Ann Li,2024-08-27
Arantxa Rus,Ana Bogdan,2024-08-27
Marta Kostyuk,McCartney Kessler,2024-08-27
Iva Jovic,Magda Linette,2024-08-27
Emma Navarro,Anna Blinkova,2024-08-27
