Rank,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02
1,Jannik Sinner,Jannik Sinner,Jannik Sinner,Jannik Sinner,Jannik Sinner,Jannik Sinner,Jannik Sinner,Jannik Sinner
2,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,Alexei Popyrin,Alexei Popyrin
3,Carlos Alcaraz,Carlos Alcaraz,Carlos Alcaraz,Carlos Alcaraz,Carlos Alcaraz,Botic van de Zandschulp,Novak Djokovic,Novak Djokovic
4,Alexander Zverev,Alexander Zverev,Alexander Zverev,Alexander Zverev,Alexander Zverev,Carlos Alcaraz,Jack Draper,Jack Draper
5,Daniil Medvedev,Daniil Medvedev,Daniil Medvedev,Daniil Medvedev,Daniil Medvedev,Alexander Zverev,Botic van de Zandschulp,Botic van de Zandschulp
6,Andrey Rublev,Andrey Rublev,Andrey Rublev,Andrey Rublev,Andrey Rublev,Daniil Medvedev,Carlos Alcaraz,Carlos Alcaraz
7,Hubert Hurkacz,Hubert Hurkacz,Hubert Hurkacz,Hubert Hurkacz,Jordan Thompson,Andrey Rublev,Alexander Zverev,Alexander Zverev
8,Casper Ruud,Casper Ruud,Casper Ruud,Casper Ruud,Hubert Hurkacz,Jordan Thompson,Daniil Medvedev,Daniil Medvedev
9,Grigor Dimitrov,Grigor Dimitrov,Grigor Dimitrov,Grigor Dimitrov,Casper Ruud,Hubert Hurkacz,Andrey Rublev,Grigor Dimitrov
10,Alex de Minaur,Alex de Minaur,Alex de Minaur,Alex de Minaur,Grigor Dimitrov,Casper Ruud,Jordan Thompson,Andrey Rublev
11,Stefanos Tsitsipas,Stefanos Tsitsipas,Thanasi Kokkinakis,Thanasi Kokkinakis,Alex de Minaur,Grigor Dimitrov,Hubert Hurkacz,Jordan Thompson
12,Taylor Fritz,Taylor Fritz,Stefanos Tsitsipas,Stefanos Tsitsipas,Nuno Borges,Alex de Minaur,Casper Ruud,Hubert Hurkacz
13,Ben Shelton,Ben Shelton,Taylor Fritz,Taylor Fritz,Thanasi Kokkinakis,Nuno Borges,Grigor Dimitrov,Taylor Fritz
14,Tommy Paul,Tommy Paul,Ben Shelton,Ben Shelton,Stefanos Tsitsipas,Thanasi Kokkinakis,Alex de Minaur,Casper Ruud
15,Holger Rune,Brandon Nakashima,Tommy Paul,Tommy Paul,Taylor Fritz,Stefanos Tsitsipas,Nuno Borges,Alex de Minaur
16,Sebastian Korda,Holger Rune,Brandon Nakashima,Brandon Nakashima,Ben Shelton,Taylor Fritz,Thanasi Kokkinakis,Nuno Borges
17,Ugo Humbert,Sebastian Korda,Holger Rune,Holger Rune,Tommy Paul,Frances Tiafoe,Stefanos Tsitsipas,Thanasi Kokkinakis
18,Lorenzo Musetti,Ugo Humbert,Sebastian Korda,Sebastian Korda,Brandon Nakashima,Ben Shelton,Taylor Fritz,Stefanos Tsitsipas
19,Felix Auger-Aliassime,Lorenzo Musetti,Ugo Humbert,Francisco Comesana,Holger Rune,Tommy Paul,Frances Tiafoe,Frances Tiafoe
20,Frances Tiafoe,Felix Auger-Aliassime,Lorenzo Musetti,Ugo Humbert,Tomas Machac,Brandon Nakashima,Ben Shelton,Ben Shelton
21,Alejandro Tabilo,Frances Tiafoe,Jakub Mensik,Lorenzo Musetti,Sebastian Korda,Holger Rune,Tommy Paul,Tommy Paul
22,Karen Khachanov,Alejandro Tabilo,Felix Auger-Aliassime,Jakub Mensik,Francisco Comesana,Tomas Machac,Brandon Nakashima,Brandon Nakashima
23,Sebastian Baez,Karen Khachanov,Frances Tiafoe,Felix Auger-Aliassime,Ugo Humbert,Sebastian Korda,Holger Rune,Holger Rune
24,Arthur Fils,Sebastian Baez,David Goffin,Frances Tiafoe,Lorenzo Musetti,Francisco Comesana,Tomas Machac,Tomas Machac
25,Jack Draper,Arthur Fils,Alejandro Tabilo,David Goffin,Jakub Mensik,Ugo Humbert,Sebastian Korda,Sebastian Korda
26,Nicolas Jarry,Jack Draper,Daniel Evans,Alejandro Tabilo,Felix Auger-Aliassime,Lorenzo Musetti,Francisco Comesana,Francisco Comesana
27,Alexander Bublik,Nicolas Jarry,Karen Khachanov,Daniel Evans,Frances Tiafoe,Jakub Mensik,Ugo Humbert,Ugo Humbert
28,Alexei Popyrin,Juncheng Shang,Sebastian Baez,Karen Khachanov,David Goffin,Felix Auger-Aliassime,Lorenzo Musetti,Lorenzo Musetti
29,Francisco Cerundolo,Alexander Bublik,Arthur Fils,Tallon Griekspoor,Alejandro Tabilo,David Goffin,Jakub Mensik,Jakub Mensik
30,Matteo Arnaldi,Alexei Popyrin,Jack Draper,Sebastian Baez,Daniel Evans,Alejandro Tabilo,Felix Auger-Aliassime,Felix Auger-Aliassime
31,Flavio Cobolli,Francisco Cerundolo,Christopher O'Connell,Arthur Fils,Karen Khachanov,Daniel Evans,David Goffin,David Goffin
32,Jordan Thompson,Matteo Arnaldi,Nicolas Jarry,Jack Draper,Tallon Griekspoor,Karen Khachanov,Alejandro Tabilo,Alejandro Tabilo
33,Tomas Martin Etcheverry,Flavio Cobolli,Juncheng Shang,Christopher O'Connell,Sebastian Baez,Tallon Griekspoor,Daniel Evans,Daniel Evans
34,Nuno Borges,Jordan Thompson,Alexander Bublik,Nicolas Jarry,Gabriel Diallo,Sebastian Baez,Karen Khachanov,Karen Khachanov
35,Jan-Lennard Struff,Tomas Martin Etcheverry,Alexei Popyrin,Juncheng Shang,Arthur Fils,Gabriel Diallo,Tallon Griekspoor,Tallon Griekspoor
36,Mariano Navone,Nuno Borges,Francisco Cerundolo,Alexander Bublik,Jack Draper,Arthur Fils,Sebastian Baez,Sebastian Baez
37,Luciano Darderi,Jan-Lennard Struff,Matteo Arnaldi,Alexei Popyrin,Christopher O'Connell,Jack Draper,Gabriel Diallo,Gabriel Diallo
38,Jiri Lehecka,Mariano Navone,Flavio Cobolli,Tomas Martin Etcheverry,Nicolas Jarry,Christopher O'Connell,Arthur Fils,Arthur Fils
39,Tomas Machac,Luciano Darderi,Jordan Thompson,Francisco Cerundolo,Juncheng Shang,Nicolas Jarry,Christopher O'Connell,Christopher O'Connell
40,Tallon Griekspoor,Jiri Lehecka,Tomas Martin Etcheverry,Matteo Arnaldi,Alexander Bublik,Juncheng Shang,Nicolas Jarry,Nicolas Jarry
41,Zhizhen Zhang,Tomas Machac,Nuno Borges,Flavio Cobolli,Alexei Popyrin,Alexander Bublik,Juncheng Shang,Juncheng Shang
42,Adrian Mannarino,Tallon Griekspoor,Laslo Djere,Jordan Thompson,Tomas Martin Etcheverry,Alexei Popyrin,Alexander Bublik,Alexander Bublik
43,Pedro Martinez,Zhizhen Zhang,Jan-Lennard Struff,Nuno Borges,Francisco Cerundolo,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Tomas Martin Etcheverry
