Rank,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02
1,Iga Swiatek,Iga Swiatek,Iga Swiatek,Iga Swiatek,Iga Swiatek,Iga Swiatek,Iga Swiatek,Iga Swiatek
2,Aryna Sabalenka,Aryna Sabalenka,Aryna Sabalenka,Aryna Sabalenka,Aryna Sabalenka,Aryna Sabalenka,Aryna Sabalenka,Aryna Sabalenka
3,Coco Gauff,Coco Gauff,Coco Gauff,Coco Gauff,Coco Gauff,Coco Gauff,Coco Gauff,Emma Navarro
4,Elena Rybakina,Elena Rybakina,Elena Rybakina,Elena Rybakina,Jessika Ponchet,Jessika Ponchet,Caroline Wozniacki,Coco Gauff
5,Jasmine Paolini,Jasmine Paolini,Jasmine Paolini,Jasmine Paolini,Elena Rybakina,Elena Rybakina,Jessika Ponchet,Caroline Wozniacki
6,Jessica Pegula,Jessica Pegula,Jessica Pegula,Jessica Pegula,Jasmine Paolini,Jasmine Paolini,Elena Rybakina,Jessika Ponchet
7,Qinwen Zheng,Qinwen Zheng,Qinwen Zheng,Qinwen Zheng,Jessica Pegula,Jessica Pegula,Jasmine Paolini,Elena Rybakina
8,Barbora Krejcikova,Barbora Krejcikova,Barbora Krejcikova,Elena-Gabriela Ruse,Qinwen Zheng,Qinwen Zheng,Jessica Pegula,Jasmine Paolini
9,Maria Sakkari,Yafan Wang,Yafan Wang,Barbora Krejcikova,Elena-Gabriela Ruse,Paula Badosa,Qinwen Zheng,Jessica Pegula
10,Jelena Ostapenko,Maria Sakkari,Maria Sakkari,Yafan Wang,Barbora Krejcikova,Elena-Gabriela Ruse,Paula Badosa,Qinwen Zheng
11,Danielle Collins,Jelena Ostapenko,Naomi Osaka,Maria Sakkari,Yafan Wang,Barbora Krejcikova,Elena-Gabriela Ruse,Paula Badosa
12,Emma Navarro,Danielle Collins,Jelena Ostapenko,Naomi Osaka,Maria Sakkari,Yafan Wang,Barbora Krejcikova,Elena-Gabriela Ruse
13,Daria Kasatkina,Emma Navarro,Caroline Dolehide,Jelena Ostapenko,Naomi Osaka,Maria Sakkari,Yafan Wang,Barbora Krejcikova
14,Madison Keys,Daria Kasatkina,Danielle Collins,Caroline Dolehide,Jelena Ostapenko,Karolina Muchova,Maria Sakkari,Yafan Wang
15,Anna Kalinskaya,Madison Keys,Emma Navarro,Danielle Collins,Sara Errani,Naomi Osaka,Karolina Muchova,Maria Sakkari
16,Liudmila Samsonova,Anna Kalinskaya,Daria Kasatkina,Emma Navarro,Caroline Dolehide,Jelena Ostapenko,Naomi Osaka,Karolina Muchova
17,Ons Jabeur,Liudmila Samsonova,Madison Keys,Daria Kasatkina,Danielle Collins,Sara Errani,Jelena Ostapenko,Naomi Osaka
18,Diana Shnaider,Ons Jabeur,Anna Kalinskaya,Madison Keys,Emma Navarro,Caroline Dolehide,Diana Shnaider,Jelena Ostapenko
19,Marta Kostyuk,Diana Shnaider,Liudmila Samsonova,Anna Kalinskaya,Peyton Stearns,Danielle Collins,Sara Errani,Diana Shnaider
20,Victoria Azarenka,Marta Kostyuk,Ons Jabeur,Liudmila Samsonova,Daria Kasatkina,Emma Navarro,Caroline Dolehide,Sara Errani
21,Beatriz Haddad Maia,Victoria Azarenka,Diana Shnaider,Ons Jabeur,Madison Keys,Donna Vekic,Danielle Collins,Caroline Dolehide
22,Marketa Vondrousova,Beatriz Haddad Maia,Marta Kostyuk,Diana Shnaider,Anna Kalinskaya,Peyton Stearns,Emma Navarro,Danielle Collins
23,Mirra Andreeva,Marketa Vondrousova,Victoria Azarenka,Marta Kostyuk,Liudmila Samsonova,Daria Kasatkina,Donna Vekic,Donna Vekic
24,Donna Vekic,Mirra Andreeva,Beatriz Haddad Maia,Victoria Azarenka,Ons Jabeur,Madison Keys,Peyton Stearns,Peyton Stearns
25,Linda Noskova,Donna Vekic,Marketa Vondrousova,Beatriz Haddad Maia,Diana Shnaider,Anna Kalinskaya,Daria Kasatkina,Daria Kasatkina
